Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
A Dance with Dragons,George R. R. Martin,2011-07-12,Fiction,"New threats emerge to endanger the future of the Seven Kingdoms, as Daenerys Targaryen, ruling in the East, fights off a multitude of enemies, while Jon Snow, Lord Commander of the Night's Watch, faces his foes both in the Watch and beyond the great Wallof ice and stone.",9780739375976,NOT_MATURE
"A Dance With Dragons Complete Edition (Two in One) (A Song of Ice and Fire, Book 5)",George R.R. Martin,2011-07-12,Fiction,"HBO’s hit series A GAME OF THRONES is based on George R. R. Martin’s internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A DANCE WITH DRAGONS is the fifth volume in the series.",9780007442454,NOT_MATURE
A Dance with Dragons,George R. R. Martin,2012,Fantasy fiction,"In the aftermath of a colossal battle, new threats are emerging from every direction. Tyrion Lannister, having killed his father, and wrongfully accused of killing his nephew, King Joffrey, has escaped from King's Landing with a price on his head.",9780007466061,NOT_MATURE
"A Dance With Dragons: Part 1 Dreams and Dust (A Song of Ice and Fire, Book 5)",George R.R. Martin,2012-03-15,Fiction,"HBO’s hit series A GAME OF THRONES is based on George R R Martin’s internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A DANCE WITH DRAGONS: DREAMS AND DUST is the FIRST part of the fifth volume in the series. ‘Richly satisfying and utterly engrossing’ Sunday Times",9780007482900,NOT_MATURE
A Dance with Dragons: Part 2: After the Feast,George R.R. Martin,,,,,NOT_MATURE
A Dance with Dragons: Part 1 Dreams and Dust,George R. R. Martin,2015-03-23,"Animals, Mythical","HBO's hit series A GAME OF THRONES is based on George R.R. Martin's internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A DANCE WITH DRAGONS: DREAMS AND DUST is the first part of the fifth volume in the series. 'Characters so venomous they could eat the Borgias' Guardian Tyrion Lannister, having killed his father, and wrongfully accused of killing his nephew, King Joffrey, has escaped from King's Landing with a price on his head. Jon Snow has been elected Lord Commander of the Night's Watch. But Jon has enemies both inside and beyond the Wall. And in the east Daenerys Targaryen struggles to hold a city built on dreams and dust. The future of the Seven Kingdoms hangs in the balance. On all sides bitter conflicts are reigniting, played out by outlaws and priests, nobles and slaves. The tides of destiny will lead to the greatest dance of all.",9780008122300,NOT_MATURE
"A Dance With Dragons: Part 2 After The Feast (A Song of Ice and Fire, Book 5)",George R.R. Martin,2012-03-15,Fiction,"HBO’s hit series A GAME OF THRONES is based on George R R Martin’s internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A DANCE WITH DRAGONS: AFTER THE FEAST is the SECOND part of the fifth volume in the series. ‘Vivid, rich, multi-layered and utterly addictive’ Daily Express",9780007482917,NOT_MATURE
A Dance with Dragons: Part 1: Dreams and Dust,George R.R. Martin,,,,,NOT_MATURE
A Feast for Crows,George R. R. Martin,2007-10-30,Fiction,"THE BOOK BEHIND THE FOURTH SEASON OF GAME OF THRONES, AN ORIGINAL SERIES NOW ON HBO. Here is the fourth book in the landmark series that has redefined imaginative fiction and become a modern masterpiece. A FEAST FOR CROWS After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it’s not long before the survivors, outlaws, renegades, and carrion eaters of the Seven Kingdoms gather. Now, as the human crows assemble over a banquet of ashes, daring new plots and dangerous new alliances are formed while surprising faces—some familiar, others only just appearing—emerge from an ominous twilight of past struggles and chaos to take up the challenges of the terrible times ahead. Nobles and commoners, soldiers and sorcerers, assassins and sages, are coming together to stake their fortunes . . . and their lives. For at a feast for crows, many are the guests—but only a few are the survivors. A GAME OF THRONES • A CLASH OF KINGS • A STORM OF SWORDS • A FEAST FOR CROWS • A DANCE WITH DRAGONS",9780553582031,NOT_MATURE
A Feast for Crows (HBO Tie-in Edition): A Song of Ice and Fire: Book Four,George R. R. Martin,2014-04-01,Fiction,"THE BOOK BEHIND THE FOURTH SEASON OF THE ACCLAIMED HBO SERIES GAME OF THRONES A SONG OF ICE AND FIRE: BOOK FOUR After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. Few legitimate claims to the Iron Throne still exist, and the war that has turned the world into little more than a wasteland has finally burned itself out. Or so it appears. For it’s not long before the survivors, outlaws, renegades, and carrion eaters of the Seven Kingdoms gather. Now, as the human crows assemble over a banquet of ashes, daring new plots and dangerous new alliances are formed, while surprising faces—some familiar, others only just appearing—emerge from an ominous twilight of past struggles and chaos to take up the challenges of the terrible times ahead. Nobles and commoners, soldiers and sorcerers, assassins and sages, are coming together to stake their fortunes . . . and their lives. For at a feast for crows, many are the guests—but only a few are the survivors. Praise for George R. R. Martin and A Feast for Crows “The American Tolkien . . . Of those who work in the grand epic-fantasy tradition, [George R. R. Martin] is by far the best.”—Time “Long live George Martin . . . a literary dervish, enthralled by complicated characters and vivid language, and bursting with the wild vision of the very best tale tellers.”—The New York Times “A fantasy series for hip, smart people, even those who don’t read fantasy.”—Chicago Tribune",9780553390568,NOT_MATURE
A Feast for Crows,George R. R. Martin,2011,,"Fantasy-roman. After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it's not long before the survivors, outlaws, renegades, and carrion eaters of the Seven Kingdoms gather. Now, as the human crows assemble over a banquet of ashes, daring new plots and dangerous new alliances are formed while surprising faces - some familiar, others only just appearing - emerge from an ominous twilight of past struggles and chaos to take up the challenges of the terrible times ahead. Nobles and commoners, soldiers and sorcerers, assassins and sages, are coming together to stake their fortunes ... and their lives. For at a feast for crows, many are the guests - but only a few are the survivors.",,NOT_MATURE
A Feast for Crows,George R. R. Martin,2012-03-27,Fiction,"The uneasy peace that exists following the death of Robb Stark is threatened by new plots, intrigues, and alliances that once again will plunge the Seven Kingdoms into all-out war for control of the Iron Throne.",9780449011911,NOT_MATURE
冰与火之歌,"George R. R. Martin, 马丁 (美), 屈畅, 胡绍晏",2012,Fantasy fiction,,9787229056667,NOT_MATURE
Bing yu huo zhi ge,George R. R. Martin,2014,,,,NOT_MATURE
The Captain of Guards Excerpt from A Feast for Crows,George R. R. Martin,2005,Fantasy fiction,,,NOT_MATURE
George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire Series),George R. R. Martin,2012-09-10,Fiction,"For the first time, all five novels in the epic fantasy series that inspired HBO’s Game of Thrones are together in one eBook bundle. An immersive entertainment experience unlike any other, A Song of Ice and Fire has earned George R. R. Martin—dubbed “the American Tolkien” by Time magazine—international acclaim and millions of loyal readers. Now this bundle collects the entire monumental cycle in the most convenient format available: A GAME OF THRONES A CLASH OF KINGS A STORM OF SWORDS A FEAST FOR CROWS A DANCE WITH DRAGONS “One of the best series in the history of fantasy.”—Los Angeles Times Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King’s Landing. There Eddard Stark of Winterfell rules in Robert’s name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse—unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season. Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen’s brothers Jaime and Tyrion of the powerful and wealthy House Lannister—the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms. Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki—whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys. “Long live George Martin . . . a literary dervish, enthralled by complicated characters and vivid language, and bursting with the wild vision of the very best tale tellers.”—The New York Times",9780345535535,NOT_MATURE
A Game of Thrones,George R. R. Martin,1997-08-04,Fiction,"NOW THE ACCLAIMED HBO SERIES GAME OF THRONES—THE MASTERPIECE THAT BECAME A CULTURAL PHENOMENON Here is the first book in the landmark series that has redefined imaginative fiction and become a modern masterpiece. A GAME OF THRONES In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the North of Winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones. A GAME OF THRONES • A CLASH OF KINGS • A STORM OF SWORDS • A FEAST FOR CROWS • A DANCE WITH DRAGONS",9780553573404,NOT_MATURE
A Game of Thrones: The Illustrated Edition,George R. R. Martin,2016-10-18,Fiction,"A dazzling illustrated edition of the book that started it all—for readers of A Song of Ice and Fire and fans of HBO’s Game of Thrones. Published in celebration of the twentieth anniversary of George R. R. Martin’s landmark series, this lavishly illustrated special edition of A Game of Thrones—featuring gorgeous full-page artwork as well as black-and-white illustrations in every chapter—revitalizes the fantasy masterpiece that became a cultural phenomenon. And now the mystery, intrigue, romance, and adventure of this magnificent saga come to life as never before. A GAME OF THRONES A SONG OF ICE AND FIRE: BOOK ONE With a special foreword by John Hodgman Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King’s Landing. There Eddard Stark of Winterfell rules in Robert’s name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse—unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season. Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen’s brothers Jaime and Tyrion of the powerful and wealthy House Lannister—the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms. Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki—whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys.",9780553808049,NOT_MATURE
Fire & Blood,George R. R. Martin,2018-11-20,Fiction,"#1 NEW YORK TIMES BESTSELLER • The history of the Targaryens comes to life in this masterly work, the inspiration for HBO’s Game of Thrones prequel series House of the Dragon “The thrill of Fire & Blood is the thrill of all Martin’s fantasy work: familiar myths debunked, the whole trope table flipped.”—Entertainment Weekly Centuries before the events of A Game of Thrones, House Targaryen—the only family of dragonlords to survive the Doom of Valyria—took up residence on Dragonstone. Fire & Blood begins their tale with the legendary Aegon the Conqueror, creator of the Iron Throne, and goes on to recount the generations of Targaryens who fought to hold that iconic seat, all the way up to the civil war that nearly tore their dynasty apart. What really happened during the Dance of the Dragons? Why was it so deadly to visit Valyria after the Doom? What were Maegor the Cruel’s worst crimes? What was it like in Westeros when dragons ruled the skies? These are but a few of the questions answered in this essential chronicle, as related by a learned maester of the Citadel and featuring more than eighty black-and-white illustrations by artist Doug Wheatley. Readers have glimpsed small parts of this narrative in such volumes as The World of Ice & Fire, but now, for the first time, the full tapestry of Targaryen history is revealed. With all the scope and grandeur of Gibbon’s The History of the Decline and Fall of the Roman Empire, Fire & Blood is the first volume of the definitive two-part history of the Targaryens, giving readers a whole new appreciation for the dynamic, often bloody, and always fascinating history of Westeros. Praise for Fire & Blood “A masterpiece of popular historical fiction.” —The Sunday Times “The saga is a rich and dark one, full of both the title’s promised elements. . . . It’s hard not to thrill to the descriptions of dragons engaging in airborne combat, or the dilemma of whether defeated rulers should ‘bend the knee,’ ‘take the black’ and join the Night’s Watch, or simply meet an inventive and horrible end.”—The Guardian",9781524796297,NOT_MATURE
A Game of Thrones (HBO Tie-in Edition),George R. R. Martin,2011-03-22,Fiction,"NOW THE ACCLAIMED HBO SERIES GAME OF THRONES—THE MASTERPIECE THAT BECAME A CULTURAL PHENOMENON Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King’s Landing. There Eddard Stark of Winterfell rules in Robert’s name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse—unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season. Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen’s brothers Jaime and Tyrion of the powerful and wealthy House Lannister—the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms. Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki—whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys.",9780553593716,NOT_MATURE
A Game of Thrones,George R. R. Martin,2015-03-01,Young Adult Fiction,"Saat memainkan perebutan takhta, pilihannya adalah menang atau mati... Inilah negeri tempat matahari terbenam. Negeri Tujuh Kerajaan, tempat kau akan takjub pada Klan Baratheon, dengan rusa jantan bermahkota dengan warna hitam berlatar emas yang menjadi simbol. Semboyan mereka berbunyi Yang Kami Miliki adalah Amarah. Klan Stark dengan direwolf abu-abu berlatar putih es sebagai simbol dan semboyan Musim Dingin Akan Datang. Klan Lannister dengan singa emas berlatar merah tua yang angkuh dan semboyan Dengar Raunganku! Klan Tully yang memilih lambang ikan trout melompat, warna perak berlatar biru dan merah serta semboyan Keluarga, Kewajiban, Kehormatan yang dijunjung tinggi. Atau Klan Targaryen yang namanya diucap rakyat Tujuh Kerajaan dengan tangan gemetar, berpanji naga berkepala tiga, merah berlatar hitam, dengan semboyan Api dan Darah. Apa yang benar tak selalu menang. Apa yang salah, tak selamanya musnah. Ketika setiap klan memainkan strategi dan tipu dayanya, siapa yang akan tampil sebagai penguasa? Si cerdik, si licik, si cerdas, si kuat, atau si bijaksana? Jaga jantungmu, agar tak berhenti berdetak di tengah cerita. Karya George RR Martin yang sudah diadaptasi menjadi TV Series oleh HBO. Volume pertama dari seri A Song of Fire and Ice. Sebuah novel terjemahan berbahasa Indonesia persembahan Fantasious Buku persembahan penerbit UfukPublishingGroup #Fantasious",9786020900292,NOT_MATURE
"A Game of Thrones Enhanced Edition (A Song of Ice and Fire, Book 1)",George R.R. Martin,2012-01-30,Fiction,"This stunning enhanced edition of the hugely popular and highly acclaimed epic fantasy features an interactive map tracking main characters’ journeys, audio extracts of key scenes and a hyperlinked character glossary.",9780007445714,NOT_MATURE
A Game of Thrones,George R. R. Martin,2011-04-12,Fiction,"The kingdom of the royal Stark family faces its ultimate challenge in the onset of a generation-long winter, the poisonous plots of the rival Lannisters, the emergence of the Neverborn demons and the arrival of barbarian hordes. TV tie-in.",9780307913098,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 11",George R. R. Martin,2013-01-22,Comics & Graphic Novels,"In the latest installment of Daniel Abraham’s masterly adaptation of George R. R. Martin’s fantasy classic, the bonds of family and sanity are tested. At last, Catelyn Stark and her prisoner, Tyrion Lannister, have reached the Eyrie, the lofty citadel of Catelyn’s sister, Lysa, the grieving widow of Jon Arryn. Because Lysa believes that the Lannisters were responsible for her husband's death, Catelyn had thought to find an ally in this forbidding refuge. Instead the refuge seems more like a prison . . . and the “ally” a fearful and vindictive madwoman. Meanwhile, across the Narrow Sea, Daenerys Targaryen is also faced with a sibling’s madness—her brother, Viserys, impatient for the crown promised him by Khal Drogo, grows increasingly unable to hold his rage in check.",9780345538338,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 5",George R. R. Martin,2012-02-29,Comics & Graphic Novels,"Storm clouds gather over Westeros in the fifth installment of Daniel Abraham’s gripping adaptation of George R. R. Martin’s fantasy masterpiece A Game of Thrones. A childish game gone horribly wrong pits Arya Stark against Prince Joffrey, with Sansa Stark in the middle. But behind youthful rivalries, cold-blooded political intrigue is at work as Queen Cersei uses all her wiles to blunt the influence of Eddard Stark, the Hand of the King. Meanwhile, Lady Catelyn has journeyed to King’s Landing with the blade used in the attempted assassination of her son Bran—evidence that will upset a precarious balance of power. And in Winterfell, a dying Bran takes a mystical journey . . . and faces a fateful choice.",9780345536204,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 11",George R. R. Martin,2013-01-22,Comics & Graphic Novels,"In the latest installment of Daniel Abraham’s masterly adaptation of George R. R. Martin’s fantasy classic, the bonds of family and sanity are tested. At last, Catelyn Stark and her prisoner, Tyrion Lannister, have reached the Eyrie, the lofty citadel of Catelyn’s sister, Lysa, the grieving widow of Jon Arryn. Because Lysa believes that the Lannisters were responsible for her husband's death, Catelyn had thought to find an ally in this forbidding refuge. Instead the refuge seems more like a prison . . . and the “ally” a fearful and vindictive madwoman. Meanwhile, across the Narrow Sea, Daenerys Targaryen is also faced with a sibling’s madness—her brother, Viserys, impatient for the crown promised him by Khal Drogo, grows increasingly unable to hold his rage in check.",9780345538338,NOT_MATURE
A Game of Thrones: The Graphic Novel: Volume One,George R. R. Martin,2012-03-27,Comics & Graphic Novels,"This graphic novel adaptation contains more than fifty pages of exclusive content not available in the original comic books, including • a new Preface by George R. R. Martin • early renderings of key scenes and favorite characters from the novels • a walk-through of the entire creative process, from auditioning the artists to tweaking the scripts to coloring the final pages • behind-the-scenes commentary from Daniel Abraham, Tommy Patterson, and series editor Anne Groell You’ve read the books. You’ve watched the hit series on HBO. Now acclaimed novelist Daniel Abraham and illustrator Tommy Patterson bring George R. R. Martin’s epic fantasy masterwork A Game of Thrones to majestic new life in the pages of this full-color graphic novel, comprised of the initial six issues of the graphic series. Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King’s Landing. There Eddard Stark of Winterfell rules in Robert’s name. There his family dwells in peace and comfort: his proud wife, Catelyn; his sons Robb, Brandon, and Rickon; his daughters Sansa and Arya; and his bastard son, Jon Snow. Far to the north, behind the towering Wall, lie savage Wildings and worse—unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season. Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances. Now Robert is riding north to Winterfell, bringing his queen, the lovely but cold Cersei, his son, the cruel, vainglorious Prince Joffrey, and the queen’s brothers Jaime and Tyrion of the powerful and wealthy House Lannister—the first a swordsman without equal, the second a dwarf whose stunted stature belies a brilliant mind. All are heading for Winterfell and a fateful encounter that will change the course of kingdoms. Meanwhile, across the Narrow Sea, Prince Viserys, heir of the fallen House Targaryen, which once ruled all of Westeros, schemes to reclaim the throne with an army of barbarian Dothraki—whose loyalty he will purchase in the only coin left to him: his beautiful yet innocent sister, Daenerys.",9780440423218,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 1",George R. R. Martin,2012-01-04,Comics & Graphic Novels,"A New York Times bestselling epic. A blockbuster TV series. And now, George R. R. Martin’s breathtaking fantasy masterpiece makes its powerful graphic novel debut—with all the majesty, intrigue, full-blooded adventure, and sweeping, mythic vision that have made it a landmark work of imaginative literature. Beyond the legendary Wall, the vast battlement that stands between the kingdom of Winterfell and the untamed unknown, something sinister and supernatural is stirring in the frozen wastes. For the lifelong soldiers of the Night’s Watch, sworn to protect the realm, it is time to prepare for the nearly endless season of cold and snow that—along with something unspeakable—is closing in. For Eddard Stark, Lord of Winterfell and patriarch of a fierce and stoic clan, it is time to greet his king . . . and make ready for whatever destiny holds in store. For an arrogant young prince, it is time to reclaim his lost throne, by bartering his innocent sister to be a savage warlord’s bride. And for a princess bound for a strange and brutal realm, it is time to begin a journey of transformation from daughter to wife to queen. All across the Seven Kingdoms, the wheels of tumultuous, life-changing history have begun to turn.",9780345536150,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 5",George R. R. Martin,2012-02-29,Comics & Graphic Novels,"Storm clouds gather over Westeros in the fifth installment of Daniel Abraham’s gripping adaptation of George R. R. Martin’s fantasy masterpiece A Game of Thrones. A childish game gone horribly wrong pits Arya Stark against Prince Joffrey, with Sansa Stark in the middle. But behind youthful rivalries, cold-blooded political intrigue is at work as Queen Cersei uses all her wiles to blunt the influence of Eddard Stark, the Hand of the King. Meanwhile, Lady Catelyn has journeyed to King’s Landing with the blade used in the attempted assassination of her son Bran—evidence that will upset a precarious balance of power. And in Winterfell, a dying Bran takes a mystical journey . . . and faces a fateful choice.",9780345536204,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 4",George R. R. Martin,2012-02-15,Comics & Graphic Novels,"Death comes to Winterfell in the fourth installment of Daniel Abraham’s thrilling adaptation of George R. R. Martin’s fantasy masterwork A Game of Thrones. Bran Stark lies broken, in a coma from which he may never awaken. Yet his would-be killers dare not leave his death to chance. And now is the time to strike. Bran’s father, Eddard Stark, has left for King’s Landing to serve as the Hand of the King. Bran’s bastard brother, Jon Snow, rides north to join the brotherhood of the Night’s Watch. Robb, his trueborn brother, has all of Winterfell in his charge. And his mother, Catelyn, is worn out with grieving. Who can protect the young lord?",9780345536198,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 21",George R. R. Martin,2014-09-23,Comics & Graphic Novels,"Mercy and revenge are but two sides of the coin in the latest thrilling installment of bestselling author Daniel Abraham’s adaptation of George R. R. Martin’s classic fantasy! To the victors belong the spoils: thus has it always been for the savage nomads of the Dothraki. But when Daenerys finds that the spoils include helpless women, she intercedes—triggering angry dissension between Khal Drogo and his men. Drogo’s word is law . . . yet the strange ways of his Targaryen bride undercut his authority. Now wounded, Drogo is weaker still. Yet help comes from an unexpected quarter: Among the rescued women, a healer steps forward, eager to repay her debt. Meanwhile, across the sea, another debt is about to be paid. As Arya Stark fights to survive on the streets of King’s Landing, the newly crowned King Joffrey prepares an unpleasant surprise for her imprisoned father, Lord Eddard.",9780345546333,NOT_MATURE
A Game of Thrones: The Graphic Novel: Volume Two,George R. R. Martin,2013-06-11,Comics & Graphic Novels,"#1 NEW YORK TIMES BESTSELLER Novelist Daniel Abraham and illustrator Tommy Patterson are not merely turning George R. R. Martin’s epic fantasy A Game of Thrones into a graphic novel: They are meticulously translating one art form into another, and capturing the intricate nuances of Martin’s novels just as HBO is doing with the blockbuster series. The Abraham/Patterson collaboration is more than just a faithful adaptation. It is a labor of love—and a thrilling masterwork in its own right. Now, in the second volume, the sweeping action moves from the icy north, where the bastard Jon Snow seeks to carve out a place for himself among bitter outcasts and hardened criminals sworn to service upon the Wall . . . to the decadent south and the capital city of King’s Landing, where Jon’s father, Lord Eddard Stark, serves as the Hand of King Robert Baratheon amid a nest of courtly vipers . . . to the barbarian lands across the Narrow Sea, where the young princess Daenerys Targaryen has found the unexpected in her forced marriage to the Dothraki warlord Khal Drogo: love—and with it, for the first time in her life, power. Meanwhile, the dwarf Tyrion Lannister, accused by Lady Catelyn Stark of the attempted murder of her now-crippled youngest son, must call upon all his cunning and wit to survive when he is captured and imprisoned in the lofty dungeons of the Eyrie, where Lady Stark’s sister—a woman obsessed with vengeance against all Lannisters—rules. But Catelyn’s impulsive arrest of the Imp will set in motion a series of violent events whose outcome is fated to shake the world at the worst possible moment. For now is not the time for private feuds and bloodthirsty ambitions. Winter is coming . . . and with it, terrors beyond imagining.",9780440423225,NOT_MATURE
MHRA Style Guide,,2008,Authorship,,,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 2",George R. R. Martin,2012-01-18,Comics & Graphic Novels,"George R. R. Martin’s monumental fantasy epic continues in this dazzlingly wrought graphic novel adaptation. In the second volume of A Game of Thrones, the irresistible plot thickens and the spellbinding magic of a master storyteller deepens. For Eddard Stark, Lord of Winterfell and Warden of the North, a new role now beckons: Hand of the King—a position of power second only to his majesty himself. But is a life at court, in luxurious King’s Landing, any life for a hardened man of action like Eddard? Is the king’s invitation an honor he can refuse—or a mandate he cannot ignore, when faced with shocking revelations of treachery on high?",9780345536174,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 3",George R. R. Martin,2012-02-01,Comics & Graphic Novels,"One of the greatest epic fantasies of all time rises to dazzling heights in the third issue of this masterly graphic novel adaptation of George R. R. Martin’s A Game of Thrones. King Robert has come to Winterfell, accompanied by his Lannister queen, Cersei; her son, Prince Joffrey; and her brothers, Jamie and the dwarf Tyrion, called the Imp. In their train come intrigue, treachery, and attempted murder that will shake House Stark to its very foundations. Meanwhile, across the Narrow Sea, the marriage between Daenerys Targaryen and the Dothraki horselord Khal Drogo wins her brother Viserys a dangerous new ally in his quest to reclaim the Iron Throne.",9780345536181,MATURE
"A Game of Thrones: Comic Book, Issue 2",George R. R. Martin,2012-01-18,Comics & Graphic Novels,"George R. R. Martin’s monumental fantasy epic continues in this dazzlingly wrought graphic novel adaptation. In the second volume of A Game of Thrones, the irresistible plot thickens and the spellbinding magic of a master storyteller deepens. For Eddard Stark, Lord of Winterfell and Warden of the North, a new role now beckons: Hand of the King—a position of power second only to his majesty himself. But is a life at court, in luxurious King’s Landing, any life for a hardened man of action like Eddard? Is the king’s invitation an honor he can refuse—or a mandate he cannot ignore, when faced with shocking revelations of treachery on high?",9780345536174,NOT_MATURE
MHRA Style Guide,,2008,Authorship,,,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 11",George R. R. Martin,2013-01-22,Comics & Graphic Novels,"In the latest installment of Daniel Abraham’s masterly adaptation of George R. R. Martin’s fantasy classic, the bonds of family and sanity are tested. At last, Catelyn Stark and her prisoner, Tyrion Lannister, have reached the Eyrie, the lofty citadel of Catelyn’s sister, Lysa, the grieving widow of Jon Arryn. Because Lysa believes that the Lannisters were responsible for her husband's death, Catelyn had thought to find an ally in this forbidding refuge. Instead the refuge seems more like a prison . . . and the “ally” a fearful and vindictive madwoman. Meanwhile, across the Narrow Sea, Daenerys Targaryen is also faced with a sibling’s madness—her brother, Viserys, impatient for the crown promised him by Khal Drogo, grows increasingly unable to hold his rage in check.",9780345538338,NOT_MATURE
Cuisine and Culture,Linda Civitello,2011-03-29,Cooking,"Cuisine and Culture presents a multicultural and multiethnic approach that draws connections between major historical events and how and why these events affected and defined the culinary traditions of different societies. Witty and engaging, Civitello shows how history has shaped our diet--and how food has affected history. Prehistoric societies are explored all the way to present day issues such as genetically modified foods and the rise of celebrity chefs. Civitello's humorous tone and deep knowledge are the perfect antidote to the usual scholarly and academic treatment of this universally important subject.",9780470403716,NOT_MATURE
"A Game of Thrones: Comic Book, Issue 5",George R. R. Martin,2012-02-29,Comics & Graphic Novels,"Storm clouds gather over Westeros in the fifth installment of Daniel Abraham’s gripping adaptation of George R. R. Martin’s fantasy masterpiece A Game of Thrones. A childish game gone horribly wrong pits Arya Stark against Prince Joffrey, with Sansa Stark in the middle. But behind youthful rivalries, cold-blooded political intrigue is at work as Queen Cersei uses all her wiles to blunt the influence of Eddard Stark, the Hand of the King. Meanwhile, Lady Catelyn has journeyed to King’s Landing with the blade used in the attempted assassination of her son Bran—evidence that will upset a precarious balance of power. And in Winterfell, a dying Bran takes a mystical journey . . . and faces a fateful choice.",9780345536204,NOT_MATURE
